mapping,ontology,template
http://mappings.dbpedia.org/server/mappings/en/Infobox_Mars_crater,http://dbpedia.org/ontology/Crater,infobox mars crater
http://mappings.dbpedia.org/server/mappings/en/Meat-stub,http://dbpedia.org/ontology/Food,meat stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_wrestler,http://dbpedia.org/ontology/Wrestler,infobox wrestler
http://mappings.dbpedia.org/server/mappings/en/Infobox_NFL_event,http://dbpedia.org/ontology/NationalFootballLeagueEvent,infobox nfl event
http://mappings.dbpedia.org/server/mappings/en/Infobox_boxer,http://dbpedia.org/ontology/Boxer,infobox boxer
http://mappings.dbpedia.org/server/mappings/en/Jazz-composition-stub,http://dbpedia.org/ontology/MusicalWork,jazz composition stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_game,http://dbpedia.org/ontology/Game,infobox game
http://mappings.dbpedia.org/server/mappings/en/Wrestling-bio-stub,http://dbpedia.org/ontology/Wrestler,wrestling bio stub
http://mappings.dbpedia.org/server/mappings/en/Nonfiction-tv-prog-stub,http://dbpedia.org/ontology/TelevisionShow,nonfiction tv prog stub
http://mappings.dbpedia.org/server/mappings/en/1930s-UK-film-stub,http://dbpedia.org/ontology/Film,1930s uk film stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_newspaper,http://dbpedia.org/ontology/Newspaper,infobox newspaper
http://mappings.dbpedia.org/server/mappings/en/UK-architect-stub,http://dbpedia.org/ontology/Architect,uk architect stub
http://mappings.dbpedia.org/server/mappings/en/US-autoracing-bio-stub,http://dbpedia.org/ontology/RacingDriver,us autoracing bio stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_military_person,http://dbpedia.org/ontology/MilitaryPerson,infobox military person
http://mappings.dbpedia.org/server/mappings/en/UK-journalist-stub,http://dbpedia.org/ontology/Journalist,uk journalist stub
http://mappings.dbpedia.org/server/mappings/en/GNF_Protein_box,http://dbpedia.org/ontology/HumanGene,gnf protein box
http://mappings.dbpedia.org/server/mappings/en/Switzerland-railstation-stub,http://dbpedia.org/ontology/RailwayStation,switzerland railstation stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_lake,http://dbpedia.org/ontology/Lake,infobox lake
http://mappings.dbpedia.org/server/mappings/en/Novel-stub,http://dbpedia.org/ontology/Novel,novel stub
http://mappings.dbpedia.org/server/mappings/en/Infobox_Olympic_games,http://dbpedia.org/ontology/Olympics,infobox olympic games
http://mappings.dbpedia.org/server/mappings/en/Infobox_economist,http://dbpedia.org/ontology/Economist,infobox economist
http://mappings.dbpedia.org/server/mappings/en/Infobox_airport,http://dbpedia.org/ontology/Airport,infobox airport
